Dataset 1, avg, 130.410, 17.419, 2.627, 3.820, 2.001
Dataset 1, std, 11.646, 1.177, 0.069, 0.304, 0.000
Dataset 2, avg, 131.540, 17.404, 2.632, 3.823, 2.001
Dataset 2, std, 12.512, 1.805, 0.168, 0.613, 0.002

